ex-husband,205,92190,449
friends),205,92190,449
tragedy:,187,82499,441
haubert,187,82499,441
ticketstumbler,187,82499,441
(fallentimes),187,82499,441
leaks.,159,67205,422
bad.,159,67205,422
rips,203,80592,397
followed,248,92739,373
approach,626,229923,367
terrible,229,82817,361
passed,236,83752,354
abusive,291,98586,338
dan,462,155403,336
oops,196,65272,333
mistake,635,187850,295
petabytes,139,40102,288
budget:,139,40102,288
automatically,378,108829,287
self-confessed,179,51039,285
liar,179,51039,285
limit.,166,46408,279
life.),166,46408,279
plurk,312,84972,272
google/youtube,168,43287,257
trap),168,43287,257
go:,199,49271,247
help:,122,29549,242
photosketch,142,34093,240
deal?,171,41132,240
room.,171,41132,240
slice,100,23544,235
bagel,100,23544,235
halves,100,23544,235
victoria's,158,36657,232
sodas,100,23149,231
incompetence,91,20940,230
fate,91,20940,230
consultancy,121,27774,229
